screen_name,user_name,status_id,url,title,published_date,geoLocation
"ilenes57","seensomeshit🌊❄🌊 #MATFA","1053132264047992833","Not Available","RT @staceyabrams: We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be…","Thu Oct 18 23:54:32 EDT 2018",
"kimmillerRN","Kimberly","1053132271996276737","Not Available","RT @BrianKempGA: Radical Stacey Abrams wants to change Georgia with government-run healthcare, $13,000 in higher taxes, sanctuary cities, w…","Thu Oct 18 23:54:34 EDT 2018",
"flora_lucia","Flora Cardoni","1053132283060908032","Not Available","RT @staceyabrams: We're locked in the closest governor's race in the U.S.

The stakes could not be higher. The choice we face could not be…","Thu Oct 18 23:54:37 EDT 2018",
"txgarobert","Robert Johnson","1053132301113217026","Not Available","@meh130 @KurtSchlichter @staceyabrams @PolitiFactGA How can someone who knows so little about the state of GA be allowed to govern it?  If you let this person become governor, you deserve the crap that will come rolling down 75.","Thu Oct 18 23:54:41 EDT 2018",
"PhilAmmann","Phil Ammann","1053132308868460544","Not Available","RT @pharohscat: #AZSen #CASen #TXSen #TNSen #FLSen #NVSen #OHSen #WVSen #masen #WAsen #INsen #MSSen #MOSen #NJSen #NMSen #mtsen #VASen #NDS…","Thu Oct 18 23:54:43 EDT 2018",
"ldbrownn","logan brown","1053132324672561153","https://t.co/0p2gGKlJBQ","RT @connorfscott: I’d rather sit in an ant bed https://t.co/0p2gGKlJBQ","Thu Oct 18 23:54:47 EDT 2018",
"Wolverineca","West Coast Griffin","1053132331559481344","Not Available","RT @meh130: .@staceyabrams: "People shouldn’t have to go into agriculture or hospitality in Georgia to make a living in Georgia."
@PolitiFa…","Thu Oct 18 23:54:48 EDT 2018",
"KillingJokez","🌹Absolute Dissent, RSN: LeFaye. #JC4PM #NHSLOVE","1053132340237647872","https://t.co/EwjMjBR2hZ","RT @RacismDog: WOOF WOOF WOOF WOOF WOOF WOOF https://t.co/EwjMjBR2hZ","Thu Oct 18 23:54:50 EDT 2018",
"emilycdore","Emily Dore","1053132348190060544","Not Available","@ChadDarnell @GeorgiaDemocrat @staceyabrams @SarahRiggsAmico I went between 4:30-5. There were maybe 4 or 5 people ahead of me but I waited less than 5 minutes. There were lots of voting machines inside!","Thu Oct 18 23:54:52 EDT 2018",
"TheRealPeeWee1","DennyCautrell","1053132361989271552","Not Available","RT @meh130: .@staceyabrams: "People shouldn’t have to go into agriculture or hospitality in Georgia to make a living in Georgia."
@PolitiFa…","Thu Oct 18 23:54:56 EDT 2018",
"montyybaby","Justin Montgomery","1053132380809117696","Not Available","RT @chelseahandler: Georgia- If you are an independent voter and you see how many black people are being turned  away from the polls, it wo…","Thu Oct 18 23:55:00 EDT 2018",
