screen_name,user_name,status_id,url,title,published_date,geoLocation
"principlesnow","Michele","1053720320585142272","Not Available","@BradMossEsq @dccc @DNC @staceyabrams @BetoORourke @SenatorHeitkamp @Scholten4Iowa @kyrstensinema @JanzforCongress @PhilBredesen @HarleyRouda @Janet4OH @RosenforNevada @JoeforIndiana @NelsonForSenate @AndrewGillum @jontester @clairecmc @SenBobCasey @JaneRaybould @Ojeda4congress","Sat Oct 20 14:51:16 EDT 2018",
"phenomenalkesh","❤️Phenomenal Woman❤️🌊🌊 Bout That Life","1053720325437997056","Not Available","To win in 17 days, I need you to vote early AND volunteer hard.

The stakes are too high to sit on the sidelines this year. If we want more for our state, we must do more for ourselves and for our democracy.

Sign up for a volunteer shift this weekend: https://t.co/v8xF0ET48W","Sat Oct 20 14:51:17 EDT 2018",
"66taoist","Taoist","1053720328982220801","Not Available","@BrianKempGA @staceyabrams Done. https://t.co/i8sdfRGAxM","Sat Oct 20 14:51:18 EDT 2018",
"lmjwnchestr","lena","1053720330940936193","Not Available","@LaurenJauregui @realDonaldTrump @staceyabrams Lauren for president!!!","Sat Oct 20 14:51:18 EDT 2018",
"jackthecat11","JackMack","1053720331964289024","Not Available","The guy who’s disenfranchising voters is running for governor against @staceyabrams, in case you needed another reason to vote on November 6th. ⤵️

🚨 https://t.co/3AQ7qubRU1 🚨 https://t.co/rVrmLBGi4q","Sat Oct 20 14:51:18 EDT 2018",
"ProjectTerran","Terran Humanity Project","1053720342219419648","Not Available","To win in 17 days, I need you to vote early AND volunteer hard.

The stakes are too high to sit on the sidelines this year. If we want more for our state, we must do more for ourselves and for our democracy.

Sign up for a volunteer shift this weekend: https://t.co/v8xF0ET48W","Sat Oct 20 14:51:21 EDT 2018",
"bgrant1908","IVYSTAR","1053720364537298945","https://t.co/xoxUpFPqam","COBB COUNTY: RT to spread the word! 👇🏾 #gapol https://t.co/xoxUpFPqam","Sat Oct 20 14:51:26 EDT 2018",
"Graceann319","Vote 11.06.18","1053720372787507200","Not Available","@BrianKempGA @JobCreatorsUSA @CityofRoswellGA Vote @staceyabrams Stop the corrupt, cheating GOP party.","Sat Oct 20 14:51:28 EDT 2018",
"ArgusC","Argus Collingwood 🌊","1053720375748521984","Not Available","To win in 17 days, I need you to vote early AND volunteer hard.

The stakes are too high to sit on the sidelines this year. If we want more for our state, we must do more for ourselves and for our democracy.

Sign up for a volunteer shift this weekend: https://t.co/v8xF0ET48W","Sat Oct 20 14:51:29 EDT 2018",
"gilly_billy","Gilly Mc","1053720390961426432","https://t.co/CZ14f7kkcw","@timmoore1973 @staceyabrams @CoryBooker And now this. https://t.co/CZ14f7kkcw","Sat Oct 20 14:51:33 EDT 2018",
"a_dorn","Angela Dorn","1053720405427531787","Not Available","@slate this is one of many things GA is using to disenfranchise minority voters. The GA sec’y of state will do whatever it takes to win, including lying, cheating and stealing. #VoteThemOut  @staceyabrams for Governor #electionprotection @NAACP @LawyersComm #BlackHer @nseufot","Sat Oct 20 14:51:36 EDT 2018",
"lmjskind","isa. 4 DAYS","1053720407432400899","Not Available","@LaurenJauregui @realDonaldTrump @staceyabrams Thank you for always speaking your thoughts on extremely important matters, few people do that. This is very important, thank you for this Lauren","Sat Oct 20 14:51:36 EDT 2018",
"walterhudon17","Walter Hudson","1053720415330357248","Not Available","@staceyabrams I meant we Need someone as Governor like @staceyabrams!!","Sat Oct 20 14:51:38 EDT 2018",
"Janeway12004","Linda Janeway","1053720428785602560","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:51:42 EDT 2018",
"runnnempty5","donna vaughan","1053720428533948416","Not Available","To win in 17 days, I need you to vote early AND volunteer hard.

The stakes are too high to sit on the sidelines this year. If we want more for our state, we must do more for ourselves and for our democracy.

Sign up for a volunteer shift this weekend: https://t.co/v8xF0ET48W","Sat Oct 20 14:51:41 EDT 2018",
"walterhudon17","Walter Hudson","1053720446770864128","Not Available","@staceyabrams I Totally Agree with u @staceyabrams, we someone as Governor who is honest fair compassionate to the needs of ALL Georgia ppl & NOT to a party of LIARS & THIEVES which the GOP represents & supports corporate agendas NOT the ppl. Stacey Abrams represents ALL Georgia ppl needs!","Sat Oct 20 14:51:46 EDT 2018",
"IXIIVIIX","jen","1053720461853507584","Not Available","@realDonaldTrump Are you talking about @staceyabrams ???? Cause you seem to be misinformed..as usual... https://t.co/Xm4e3NivD8","Sat Oct 20 14:51:49 EDT 2018",
"Katee76682597","Katee","1053720469294198784","Not Available","COBB COUNTY: A second in-person early voting location is now open –

Jim R. Miller Park Event Center
2245 Callaway Rd SW
Marietta, GA 30008

Find your polling location, vote early, and let's get it done for Georgia: 
https://t.co/ibvTOolZIJ #TeamAbrams #gapol https://t.co/FXbmxVJAAt","Sat Oct 20 14:51:51 EDT 2018",
"JayBay4_","Jaylen","1053720480492990464","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:51:54 EDT 2018",
"BrinaHightower","Sabrina L. Hightower","1053720487430373376","Not Available","#PostThePeach @staceyabrams for Governor! https://t.co/kHVGKKArZU","Sat Oct 20 14:51:56 EDT 2018",
"gilly_billy","Gilly Mc","1053720517331554314","https://t.co/CZ14f7kkcw","@staceyabrams #Himtoo https://t.co/CZ14f7kkcw","Sat Oct 20 14:52:03 EDT 2018",
"MarimarTX","Sailor Uranus","1053720531411894278","Not Available","@realDonaldTrump Are you talking about @staceyabrams ???? Cause you seem to be misinformed..as usual... https://t.co/Xm4e3NivD8","Sat Oct 20 14:52:06 EDT 2018",
"jawofsteel2014","KK Roberts 🌈🌟🍷😎 #FBR  #Resist #Blue Wave2018 #","1053720533026652160","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:52:06 EDT 2018",
"phyllis_wilder","Phyllis Wilder","1053720535442620416","Not Available","If success is suppressing eligible voters, leaking our Social Security numbers, and pointing a shotgun at a child on TV, I'll pass.

I’ll take Medicaid expansion, excellent public schools, and good-paying jobs. Donate if you agree: https://t.co/DBH2UDaqOK #GAGov #gapol https://t.co/EP5GahmQhZ","Sat Oct 20 14:52:07 EDT 2018",
